"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT08","WT11","WT14","WT16"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-06",,,,,"0.61","0.0","0.0","62","41","51",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-07",,,,,"0.00","0.0","0.0","70","46","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-08",,,,,"0.00","0.0","0.0","74","41","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-09",,,,,"0.00","0.0","0.0","78","40","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-10",,,,,"0.00","0.0","0.0","85","43","65",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-11",,,,,"0.00","0.0","0.0","79","50","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-12",,,,,"0.00","0.0","0.0","79","48","67",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-13",,,,,"0.00","0.0","0.0","88","45","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-14",,,,,"0.00","0.0","0.0","95","45","71",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-15",,,,,"0.00","0.0","0.0","98","65","65",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-16",,,,,"0.00","0.0","0.0","100","49","75",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-17",,,,,"0.00","0.0","0.0","100","51","71",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-18",,,,,"0.00","0.0","0.0","97","53","80",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-19",,,,,"0.00","0.0","0.0","90","54","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-20",,,,,"0.00","0.0","0.0","78","49","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-21",,,,,"0.00","0.0","0.0","80","38","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-22",,,,,"0.00","0.0","0.0","79","41","66",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-23",,,,,"0.00","0.0","0.0","66","53","57",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-24",,,,,"0.52","0.0","0.0","73","50","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-25",,,,,"0.16","0.0","0.0","75","48","59",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-26",,,,,"0.00","0.0","0.0","85","41","66",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-27",,,,,"0.00","0.0","0.0","88","46","66",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-28",,,,,"0.00","0.0","0.0","96","50","79",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-29",,,,,"0.00","0.0","0.0","97","55","77",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-30",,,,,"0.00","0.0","0.0","98","51","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-01",,,,,"0.00","0.0","0.0","98","48","73",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-02",,,,,"0.00","0.0","0.0","98","51","73",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-03",,,,,"0.00","0.0","0.0","98","55","74",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-04",,,,,"0.00","0.0","0.0","100","54","74",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-05",,,,,"0.00","0.0","0.0","98","55","77",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-06",,,,,"0.00","0.0","0.0","93","49","75",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-07",,,,,"0.00","0.0","0.0","95","51","81",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-08",,,,,"0.00","0.0","0.0","98","51","75",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-09",,,,,"0.00","0.0","0.0","97","50","78",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-10",,,,,"0.00","0.0","0.0","100","52","79",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-11",,,,,"0.00","0.0","0.0","103","58","79",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-12",,,,,"0.00","0.0","0.0","103","54","81",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-13",,,,,"0.00","0.0","0.0","102","56","79",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-14",,,,,"0.00","0.0","0.0","99","57","80",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-15",,,,,"0.00","0.0","0.0","97","47","72",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-16",,,,,"0.00","0.0","0.0","88","42","70",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-17",,,,,"0.00","0.0","0.0","92","46","73",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-18",,,,,"0.00","0.0","0.0","92","45","69",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-19",,,,,"0.00","0.0","0.0","88","50","67",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-20",,,,,"0.00","0.0","0.0","87","49","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-21",,,,,"0.00","0.0","0.0","93","48","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-22",,,,,"0.00","0.0","0.0","95","48","70",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-23",,,,,"0.00","0.0","0.0","95","48","72",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-24",,,,,"0.00","0.0","0.0","95","48","76",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-25",,,,,"0.00","0.0","0.0","93","48","74",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-26",,,,,"0.00","0.0","0.0","93","48","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-27",,,,,"0.00","0.0","0.0","90","46","78",,,,,"    1",,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-28",,,,,"0.00","0.0","0.0","90","44","73",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-29",,,,,"0.00","0.0","0.0","95","52","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-30",,,,,"0.00","0.0","0.0","95","52","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-08-31",,,,,"0.00","0.0","0.0","93","51","75",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-01",,,,,"0.00","0.0","0.0","93","49","75",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-02",,,,,"0.00","0.0","0.0","88","48","67",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-03",,,,,"0.00","0.0","0.0","86","47","69",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-04",,,,,"0.00","0.0","0.0","86","42","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-05",,,,,"0.00","0.0","0.0","88","42","65",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-06",,,,,"0.00","0.0","0.0","78","43","66",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-07",,,,,"0.18","0.0","0.0","66","48","52",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-08",,,,,"0.00","0.0","0.0","72","39","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-09",,,,,"0.00","0.0","0.0","85","41","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-10",,,,,"0.00","0.0","0.0","84","42","65",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-11",,,,,"0.00","0.0","0.0","79","44","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-12",,,,,"0.00","0.0","0.0","74","34","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-13",,,,,"0.00","0.0","0.0","76","35","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-14",,,,,"0.00","0.0","0.0","74","50","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-15",,,,,"0.00","0.0","0.0","64","50","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-16",,,,,"1.82","0.0","0.0","67","52","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-17",,,,,"0.44","0.0","0.0","79","48","63",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-18",,,,,"0.18","0.0","0.0","66","48","59",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-19",,,,,"0.01","0.0","0.0","66","45","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-20",,,,,"0.00","0.0","0.0","76","40","57",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-21",,,,,"0.00","0.0","0.0","84","42","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-22",,,,,"0.00","0.0","0.0","85","47","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-23",,,,,"0.00","0.0","0.0","85","49","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-24",,,,,"0.00","0.0","0.0","83","50","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-25",,,,,"0.00","0.0","0.0","82","54","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-26",,,,,"0.00","0.0","0.0","67","48","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-27",,,,,"0.00","0.0","0.0","76","41","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-28",,,,,"0.00","0.0","0.0","80","41","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-29",,,,,"0.00","0.0","0.0","82","46","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-09-30",,,,,"0.00","0.0","0.0","74","42","59",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-01",,,,,"0.00","0.0","0.0","69","46","55",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-02",,,,,"0.11","0.0","0.0","65","48","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-03",,,,,"0.00","0.0","0.0","68","44","51",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-04",,,,,"0.00","0.0","0.0","72","38","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-05",,,,,"0.00","0.0","0.0","76","43","50",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-06",,,,,"0.00","0.0","0.0","78","40","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-07",,,,,"0.00","0.0","0.0","78","46","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-08",,,,,"0.02","0.0","0.0","66","51","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-09",,,,,"0.64","0.0","0.0","62","47","48",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-10",,,,,"0.49","0.0","0.0","59","44","50",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-11",,,,,"0.00","0.0","0.0","59","44","51",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-12",,,,,"0.00","0.0","0.0","71","44","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-13",,,,,"0.00","0.0","0.0","75","47","59",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-14",,,,,"0.00","0.0","0.0","76","51","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-15",,,,,"0.00","0.0","0.0","75","47","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-16",,,,,"0.00","0.0","0.0","57","46","55",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-17",,,,,"1.21","0.0","0.0","62","48","49",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-18",,,,,"1.04","0.0","0.0","50","43","50",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-19",,,,,"1.37","0.0","0.0","60","43","48",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-20",,,,,"0.15","0.0","0.0","56","42","48",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-21",,,,,"0.00","0.0","0.0","60","44","46",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-22",,,,,"0.00","0.0","0.0","64","39","49",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-23",,,,,"0.00","0.0","0.0","69","42","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-24",,,,,"0.00","0.0","0.0","71","44","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-25",,,,,"0.07","0.0","0.0","70","45","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-26",,,,,"0.00","0.0","0.0","71","44","55",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-27",,,,,"0.00","0.0","0.0","69","45","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-28",,,,,"0.00","0.0","0.0","64","48","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-10-29",,,,,"0.00","0.0","0.0","70","49","61",,,,,,,,
